Product name,Color Grade,Color / Variety/Specification,Material,Gemstone Style,Main Stone,Side Stone,Plating,Chain Length,Product Dimension,Carat weight,Price(USD),Website Link,Image Link
"Rhombus Shaped Moissanite Necklace S925 1.0 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",1.0 CT,"-53% $71.00
$150.00",https://vm.tiktok.com/ZP9jhXAdg83cE-zg3DL/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/755ea86d416043e19951d6564038f00e~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Latin Cross Silver Moissanite Necklace S925 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.72 CT,"-51% $51.00
$105.00",https://vm.tiktok.com/ZP9jhXfvRuRPR-TbpHY/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/d21035b272454221bde01227b14ad2a8~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Floretta Moissanite Necklace S925 1.0 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",1.0 CT+ 0.01ct x 59,"-53% $71.00
$150.00",https://vm.tiktok.com/ZP9jhXAdg83c5-ZILWk/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/30c82f8f043841c989c2e9871699ab6d~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Dawn Moissanite Necklace S925 0.5/1.0/2.0 CT - Emerald Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,,0.5/1.0/2.0 CT,"0.5 : -51% $51.00 $105.00
1.0 : $96.00
2.0 : $131.00",https://vm.tiktok.com/ZP9jhXH2SC8qu-DDS8O/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/be6b64ca302845fc9235da18f5cca930~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Violet Moissanite Tennis Necklace S925 0.30 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,,0.30 CT,$171.00,https://vm.tiktok.com/ZP9jhX9WkUnnn-NDSul/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6556b657d2384c69be5a487045177bb6~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Heart Clarity Moissanite Necklace S925 0.3 / 0.5 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,Weight : ± 2 grams (Specific to the real product),0.3/0.5 CT,"0.3 : -31% $56.00 $81.00
0.5 : $68.00",https://vm.tiktok.com/ZP9jhXQjx9nj3-1udXg/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/136b508a19f74d85912b731e2a62e71a~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Bling Fuji Silver / Gold Moissanite Necklace S925 - Round Cut - Lore Jewelry",D (Colorless stone),"Silver
Gold",Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,Weight : ± 2 grams (Specific to the real product),,$51.00,https://vm.tiktok.com/ZP9jhXCMPfPys-kosd4/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f333be39592a47d7a5af9f60a04ed915~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Rebecca Cross Hearts Moissanite Necklace S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.05ctx1 0.01ctx20,-41% $71.00 $120.00,https://vm.tiktok.com/ZP9jhXV1TvN9Q-2NsMn/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/c399b97e94ac47ad895e04cc8625a6e6~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Alphabet Silver Moissanite Necklace S925 - Round Cut - Lore Jewelry
",D (Colorless stone),"Specification : A,B,C,E,G,I,J,M,N.L,S,O,P,Y",Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.005c CT x 17 until 0.005c CT x 31,$45.00,https://vm.tiktok.com/ZP9jhXxbSvNeN-bVx3E/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/a1da15889c804b5aa009391595d048f7~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Jaden Moissanite Necklace S925 2.0 CT - Oval Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,(+- 18.5inch),"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",2.0 CT,-54% $131.00 $285.00,https://vm.tiktok.com/ZP9jhXpaU1HGS-zKoOI/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e483021a9ff948b5b0cefce6b49f9bf2~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Anna Luxury Moissanite Necklace S925 0.5/1.0CT - Round Cut - Lore Jewelry",D (Colorless stone),"Anna Pink Luxury 
Anna Luxury ",Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.5/ 1.0 CT,"Pink : -44% $84.00 $150.00
Anna Luxury : $71.00",https://vm.tiktok.com/ZP9jhXGykLR5f-EtA22/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/87d9bd08cfd64a8e930e9ce288a74a58~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Eve Oval Moissanite Necklace S925 0.5/1.0/2.0 CT - Oval Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch", 0.5/ 1.0/ 2.0 CT,"0.5 : $58.00
1.0 : 85.00
2.0 : $125.00",https://vm.tiktok.com/ZP9jhXt5RvJD6-MkmF2/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/30b045a8b84444afae7f22560a66df16~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
